Time (ms),ENC_POS_BHG2_Z_t=4680,DAC_BHG2_Z_t=4680,ENC_POS_BHG2_BF_VCM_t=4680,BHG2_ADC_PORT_BF_CAL_t=4680,GMP_OCA_PORT_20_t=4680,GMP_OCA_PORT_27_t=4680,GMP_OCA_PORT_28_t=4680
245.75,-5561.0,-423,964.8000000000001,1482.0,3,-423.024231,-423.009888
245.875,-5561.0,-423,964.8000000000001,1479.6,3,-423.02832,-423.007477
246.0,-5561.0,-423,964.8000000000001,1482.8999999999999,3,-423.03241,-423.004974
246.125,-5561.0,-423,964.8000000000001,1485.3,3,-423.036469,-423.00235
246.25,-5561.0,-423,964.8000000000001,1482.3,3,-423.040558,-422.999542
246.375,-5561.0,-423,964.9000000000001,1484.7,3,-423.044678,-422.996552
246.5,-5561.0,-423,964.9000000000001,1486.8,3,-423.048615,-422.993744
246.625,-5561.0,-423,964.9000000000001,1481.1,3,-423.052185,-422.991272
246.75,-5561.0,-423,964.9000000000001,1481.7,3,-423.055481,-422.989075
246.875,-5561.0,-423,964.9000000000001,1483.8,3,-423.058533,-422.987091
247.0,-5561.0,-423,964.9000000000001,1486.8,3,-423.061249,-422.985291
247.125,-5561.0,-423,964.9000000000001,1484.3999999999999,3,-423.063477,-422.983673
247.25,-5561.0,-423,964.9000000000001,1484.1,3,-423.065338,-422.982147
247.375,-5561.0,-423,964.9000000000001,1488.0,3,-423.06662,-422.980927
247.5,-5561.0,-423,964.9000000000001,1487.3999999999999,3,-423.067474,-422.980042
247.625,-5561.0,-423,964.9000000000001,1485.0,3,-423.067902,-422.979553
247.75,-5561.0,-423,964.9000000000001,1479.3,3,-423.067627,-422.979645
247.875,-5561.0,-422,964.9000000000001,1487.1,3,-423.066772,-422.980103
248.0,-5561.0,-422,964.9000000000001,1489.5,3,-423.065552,-422.980865
248.125,-5561.0,-422,964.9000000000001,1485.8999999999999,3,-423.064026,-422.981964
248.25,-5561.0,-422,964.9000000000001,1482.8999999999999,3,-423.061981,-422.983429
248.375,-5561.0,-422,964.9000000000001,1480.8,3,-423.05954,-422.985199
248.5,-5561.0,-422,964.9000000000001,1486.5,3,-423.056641,-422.987579
248.625,-5561.0,-422,964.9000000000001,1485.8999999999999,3,-423.053528,-422.990387
248.75,-5561.0,-422,964.9000000000001,1480.5,3,-423.050446,-422.993439
248.875,-5561.0,-422,964.9000000000001,1477.8,3,-423.04718,-422.996765
249.0,-5561.0,-422,964.9000000000001,1488.3,3,-423.04364,-423.000336
249.125,-5561.0,-422,964.8000000000001,1482.3,3,-423.040039,-423.003998
249.25,-5561.0,-422,964.8000000000001,1483.8,3,-423.036224,-423.007935
249.375,-5561.0,-422,964.8000000000001,1481.7,3,-423.032288,-423.011993
249.5,-5561.0,-422,964.8000000000001,1485.6,3,-423.028534,-423.015991
249.625,-5561.0,-422,964.8000000000001,1478.7,3,-423.02478,-423.020142
249.75,-5561.0,-422,964.8000000000001,1479.3,3,-423.02121,-423.024231
249.875,-5561.0,-422,964.7,1479.6,3,-423.017883,-423.02832
250.0,-5561.0,-422,964.7,1480.2,3,-423.014801,-423.03241
250.125,-5561.0,-423,964.7,1479.8999999999999,3,-423.012207,-423.036469
250.25,-5561.0,-423,964.7,1474.5,3,-423.010193,-423.040558
250.375,-5561.0,-423,964.7,1479.3,3,-423.008759,-423.044678
250.5,-5561.0,-423,964.7,1480.8,3,-423.007904,-423.048615
250.625,-5561.0,-423,964.7,1477.2,3,-423.00769,-423.052185
250.75,-5561.0,-423,964.7,1473.0,3,-423.008148,-423.055481
250.875,-5561.0,-423,964.7,1473.0,3,-423.009094,-423.058533
251.0,-5561.0,-423,964.7,1483.2,3,-423.010498,-423.061249
251.125,-5561.0,-423,964.7,1481.3999999999999,3,-423.012573,-423.063477
251.25,-5561.0,-423,964.7,1479.6,3,-423.015198,-423.065338
251.375,-5561.0,-423,964.7,1479.3,3,-423.018158,-423.06662
251.5,-5561.0,-423,964.8000000000001,1482.6,3,-423.021484,-423.067474
251.625,-5561.0,-423,964.8000000000001,1483.2,3,-423.025177,-423.067902
251.75,-5561.0,-423,964.8000000000001,1476.3,3,-423.029053,-423.067627
251.875,-5561.0,-423,964.8000000000001,1480.5,3,-423.033203,-423.066772
252.0,-5561.0,-423,964.8000000000001,1484.3999999999999,3,-423.037384,-423.065552
252.125,-5561.0,-423,964.8000000000001,1479.6,3,-423.041565,-423.064026
252.25,-5561.0,-423,964.8000000000001,1478.3999999999999,3,-423.045929,-423.061981
252.375,-5561.0,-423,964.8000000000001,1481.1,3,-423.050415,-423.05954
252.5,-5561.0,-423,964.8000000000001,1485.3,3,-423.054962,-423.056641
252.625,-5561.0,-423,964.9000000000001,1482.6,3,-423.059418,-423.053528
252.75,-5561.0,-423,964.9000000000001,1479.3,3,-423.063873,-423.050446
252.875,-5561.0,-423,964.9000000000001,1478.3999999999999,3,-423.06842,-423.04718
